Year,Round,Winner Seed,Winner Name,Winner Score,Loser Seed,Loser Name,Loser Score
2024,first_round,1,UConn,91,16,Stetson,52
2024,first_round,9,Northwestern,77,8,Florida Atlantic,65
2024,first_round,5,San Diego State,69,12,UAB,65
2024,first_round,13,Yale,78,4,Auburn,76
2024,first_round,11,Duquesne,71,6,BYU,67
2024,first_round,3,Illinois,85,14,Morehead State,69
2024,first_round,7,Washington State,66,10,Drake,61
2024,first_round,2,Iowa State,82,15,South Dakota State,65
2024,first_round,1,North Carolina,90,16,Wagner,62
2024,first_round,9,Michigan State,69,8,Mississippi State,51
2024,first_round,12,Grand Canyon,75,5,Saint Mary's,66
2024,first_round,4,Alabama,109,13,Charleston,96
2024,first_round,6,Clemson,77,11,New Mexico,56
2024,first_round,3,Baylor,92,14,Colgate,67
2024,first_round,7,Dayton,63,10,Nevada,60
2024,first_round,2,Arizona,85,15,Long Beach State,65
2024,first_round,1,Houston,86,16,Longwood,46
2024,first_round,9,Texas A&M,98,8,Nebraska,83
2024,first_round,12,James Madison,72,5,Wisconsin,61
2024,first_round,4,Duke,64,13,Vermont,47
2024,first_round,11,NC State,80,6,Texas Tech,67
2024,first_round,14,Oakland,80,3,Kentucky,76
2024,first_round,10,Colorado,102,7,Florida,100
2024,first_round,2,Marquette,87,15,Western Kentucky,69
2024,first_round,1,Purdue,78,16,Grambling State,50
2024,first_round,8,Utah State,88,9,TCU,72
2024,first_round,5,Gonzaga,86,12,McNeese,65
2024,first_round,4,Kansas,93,13,Samford,89
2024,first_round,11,Oregon,87,6,South Carolina,73
2024,first_round,3,Creighton,77,14,Akron,60
2024,first_round,7,Texas,56,10,Colorado State,44
2024,first_round,2,Tennessee,83,15,Saint Peter's,49
2024,second_round,1,UConn,75,9,Northwestern,58
2024,second_round,5,San Diego State,85,13,Yale,57
2024,second_round,3,Illinois,89,11,Duquesne,63
2024,second_round,2,Iowa State,67,7,Washington State,56
2024,second_round,1,North Carolina,85,9,Michigan State,69
2024,second_round,4,Alabama,72,12,Grand Canyon,61
2024,second_round,6,Clemson,72,3,Baylor,64
2024,second_round,2,Arizona,78,7,Dayton,68
2024,second_round,1,Houston,100,9,Texas A&M,95
2024,second_round,4,Duke,93,12,James Madison,55
2024,second_round,11,NC State,79,14,Oakland,73
2024,second_round,2,Marquette,81,10,Colorado,77
2024,second_round,1,Purdue,106,8,Utah State,67
2024,second_round,5,Gonzaga,89,4,Kansas,68
2024,second_round,3,Creighton,86,11,Oregon,73
2024,second_round,2,Tennessee,62,7,Texas,58
2024,sweet_16,1,UConn,82,5,San Diego State,52
2024,sweet_16,3,Illinois,72,2,Iowa State,69
2024,sweet_16,4,Alabama,89,1,North Carolina,87
2024,sweet_16,6,Clemson,77,2,Arizona,72
2024,sweet_16,4,Duke,54,1,Houston,51
2024,sweet_16,11,NC State,67,2,Marquette,58
2024,sweet_16,1,Purdue,80,5,Gonzaga,68
2024,sweet_16,2,Tennessee,82,3,Creighton,75
2024,elite_eight,1,UConn,77,3,Illinois,52
2024,elite_eight,4,Alabama,89,6,Clemson,82
2024,elite_eight,11,NC State,76,4,Duke,64
2024,elite_eight,1,Purdue,72,2,Tennessee,66
2024,final_four,1,UConn,86,4,Alabama,72
2024,final_four,1,Purdue,63,11,NC State,50
2024,championship,1,UConn,75,1,Purdue,60
