Year,Round,Winner Seed,Winner Name,Winner Score,Loser Seed,Loser Name,Loser Score
2012,first_round,1,Syracuse,72,16,UNC Asheville,65
2012,first_round,2,Ohio State,78,15,Loyola (Md.),59
2012,first_round,3,Florida State,66,14,St. Bonaventure,63
2012,first_round,4,Wisconsin,73,13,Montana,49
2012,first_round,5,Vanderbilt,79,12,Harvard,70
2012,first_round,6,Cincinnati,65,11,Texas,59
2012,first_round,7,Gonzaga,77,10,West Virginia,54
2012,first_round,8,Kansas State,70,9,Southern Miss,64
2012,first_round,1,Michigan State,89,16,Long Island,67
2012,first_round,15,Norfolk State,86,2,Missouri,84
2012,first_round,3,Marquette,88,14,BYU,68
2012,first_round,4,Louisville,69,13,Davidson,62
2012,first_round,5,New Mexico,75,12,Long Beach State,68
2012,first_round,6,Murray State,58,11,Colorado State,41
2012,first_round,7,Florida,71,10,Virginia,45
2012,first_round,9,Saint Louis,61,8,Memphis,54
2012,first_round,1,Kentucky,81,16,Western Kentucky,66
2012,first_round,15,Lehigh,75,2,Duke,70
2012,first_round,3,Baylor,68,14,South Dakota State,60
2012,first_round,4,Indiana,79,13,New Mexico State,66
2012,first_round,12,VCU,62,5,Wichita State,59
2012,first_round,11,Colorado,68,6,UNLV,64
2012,first_round,10,Xavier,67,7,Notre Dame,63
2012,first_round,8,Iowa State,77,9,UConn,64
2012,first_round,1,North Carolina,77,16,Vermont,58
2012,first_round,2,Kansas,65,15,Detroit,50
2012,first_round,3,Georgetown,74,14,Belmont,59
2012,first_round,13,Ohio,65,4,Michigan,60
2012,first_round,12,South Florida,58,5,Temple,44
2012,first_round,11,NC State,79,6,San Diego State,65
2012,first_round,10,Purdue,72,7,Saint Mary's,69
2012,first_round,8,Creighton,58,7,Alabama,57
2012,second_round,1,Syracuse,75,8,Kansas State,59
2012,second_round,2,Ohio State,73,7,Gonzaga,66
2012,second_round,6,Cincinnati,62,3,Florida State,56
2012,second_round,4,Wisconsin,60,5,Vanderbilt,57
2012,second_round,1,Michigan State,65,9,Saint Louis,61
2012,second_round,7,Florida,84,15,Norfolk State,50
2012,second_round,3,Marquette,62,6,Murray State,53
2012,second_round,4,Louisville,59,5,New Mexico,56
2012,second_round,1,Kentucky,87,8,Iowa State,71
2012,second_round,7,Xavier,70,15,Lehigh,58
2012,second_round,3,Baylor,80,11,Colorado,63
2012,second_round,4,Indiana,63,12,VCU,61
2012,second_round,1,North Carolina,87,8,Creighton,73
2012,second_round,2,Kansas,63,10,Purdue,60
2012,second_round,11,NC State,66,3,Georgetown,63
2012,second_round,13,Ohio,62,12,South Florida,56
2012,sweet_16,1,Syracuse,64,4,Wisconsin,63
2012,sweet_16,2,Ohio State,81,6,Cincinnati,66
2012,sweet_16,4,Louisville,57,1,Michigan State,44
2012,sweet_16,7,Florida,68,3,Marquette,58
2012,sweet_16,1,Kentucky,102,4,Indiana,90
2012,sweet_16,3,Baylor,75,7,Xavier,70
2012,sweet_16,1,North Carolina,73,13,Ohio,65
2012,sweet_16,2,Kansas,60,11,NC State,57
2012,elite_eight,2,Ohio State,77,1,Syracuse,70
2012,elite_eight,4,Louisville,72,7,Florida,68
2012,elite_eight,1,Kentucky,82,3,Baylor,70
2012,elite_eight,2,Kansas,80,1,North Carolina,67
2012,final_four,1,Kentucky,69,4,Louisville,61
2012,final_four,2,Kansas,64,2,Ohio State,62
2012,championship,1,Kentucky,67,2,Kansas,59
