Year,Round,Winner Seed,Winner Name,Winner Score,Loser Seed,Loser Name,Loser Score
2008,first_round,1,North Carolina,113,16,Mount St. Mary's,74
2008,first_round,9,Arkansas,86,8,Indiana,72
2008,first_round,5,Notre Dame,68,12,George Mason,50
2008,first_round,4,Washington State,71,13,Winthrop,40
2008,first_round,6,Oklahoma,72,11,St. Joseph's,64
2008,first_round,3,Louisville,79,14,Boise State,61
2008,first_round,7,Butler,81,10,South Alabama,61
2008,first_round,2,Tennessee,72,15,American,57
2008,first_round,1,Kansas,85,16,Portland State,61
2008,first_round,8,UNLV,71,9,Kent State,58
2008,first_round,12,Villanova,75,5,Clemson,69
2008,first_round,13,Siena,83,4,Vanderbilt,62
2008,first_round,11,Kansas State,80,6,USC,67
2008,first_round,3,Wisconsin,71,14,Cal State Fullerton,56
2008,first_round,10,Davidson,82,7,Gonzaga,76
2008,first_round,2,Georgetown,66,15,UMBC,47
2008,first_round,1,Memphis,87,16,Texas-Arlington,63
2008,first_round,8,Mississippi State,76,9,Oregon,69
2008,first_round,5,Michigan State,72,12,Temple,61
2008,first_round,4,Pittsburgh,82,13,Oral Roberts,63
2008,first_round,6,Marquette,74,11,Kentucky,66
2008,first_round,3,Stanford,77,14,Cornell,53
2008,first_round,7,Miami (FL),78,10,Saint Mary's,64
2008,first_round,2,Texas,74,15,Austin Peay,54
2008,first_round,1,UCLA,70,16,Mississippi Valley State,29
2008,first_round,9,Texas A&M,67,8,BYU,62
2008,first_round,12,Western Kentucky,101,5,Drake,99
2008,first_round,13,San Diego,70,4,UConn,69
2008,first_round,6,Purdue,90,11,Baylor,79
2008,first_round,3,Xavier,73,14,Georgia,61
2008,first_round,7,West Virginia,75,10,Arizona,65
2008,first_round,2,Duke,71,15,Belmont,70
2008,second_round,1,North Carolina,108,9,Arkansas,77
2008,second_round,4,Washington State,61,5,Notre Dame,41
2008,second_round,3,Louisville,78,6,Oklahoma,48
2008,second_round,2,Tennessee,76,7,Butler,71
2008,second_round,1,Kansas,75,8,UNLV,56
2008,second_round,12,Villanova,84,13,Siena,72
2008,second_round,3,Wisconsin,72,11,Kansas State,55
2008,second_round,10,Davidson,74,2,Georgetown,70
2008,second_round,1,Memphis,77,8,Mississippi State,74
2008,second_round,5,Michigan State,65,4,Pittsburgh,54
2008,second_round,3,Stanford,82,6,Marquette,81
2008,second_round,2,Texas,75,7,Miami (FL),72
2008,second_round,1,UCLA,51,9,Texas A&M,49
2008,second_round,12,Western Kentucky,72,13,San Diego,63
2008,second_round,3,Xavier,85,6,Purdue,78
2008,second_round,7,West Virginia,73,2,Duke,67
2008,sweet_16,1,North Carolina,68,4,Washington State,47
2008,sweet_16,3,Louisville,79,2,Tennessee,60
2008,sweet_16,1,Kansas,72,12,Villanova,57
2008,sweet_16,10,Davidson,73,3,Wisconsin,56
2008,sweet_16,1,Memphis,92,5,Michigan State,74
2008,sweet_16,2,Texas,82,3,Stanford,62
2008,sweet_16,1,UCLA,88,12,Western Kentucky,78
2008,sweet_16,3,Xavier,79,7,West Virginia,75
2008,elite_eight,1,North Carolina,83,3,Louisville,73
2008,elite_eight,1,Kansas,59,10,Davidson,57
2008,elite_eight,1,Memphis,85,2,Texas,67
2008,elite_eight,1,UCLA,76,3,Xavier,57
2008,final_four,1,Kansas,84,1,North Carolina,66
2008,final_four,1,Memphis,78,1,UCLA,63
2008,championship,1,Kansas,75,1,Memphis,68
