Year,Round,Winner Seed,Winner Name,Winner Score,Loser Seed,Loser Name,Loser Score
2025,first_round,9,Creighton,89,8,Louisville,75
2025,first_round,4,Purdue,75,13,High Point,63
2025,first_round,3,Wisconsin,85,14,Montana,66
2025,first_round,1,Houston,78,16,SIU Edwardsville,40
2025,first_round,1,Auburn,83,16,Alabama State,63
2025,first_round,12,McNeese,69,5,Clemson,67
2025,first_round,6,BYU,80,11,VCU,71
2025,first_round,8,Gonzaga,89,9,Georgia,68
2025,first_round,2,Tennessee,77,15,Wofford,62
2025,first_round,10,Arkansas,79,7,Kansas,72
2025,first_round,4,Texas A&M,80,13,Yale,71
2025,first_round,11,Drake,67,6,Missouri,57
2025,first_round,7,UCLA,72,10,Utah State,47
2025,first_round,2,St. John's,83,15,Omaha,53
2025,first_round,5,Michigan,68,12,UC San Diego,65
2025,first_round,3,Texas Tech,82,14,UNC Wilmington,72
2025,first_round,9,Baylor,75,8,Mississippi State,72
2025,first_round,2,Alabama,90,15,Robert Morris,81
2025,first_round,3,Iowa State,82,14,Lipscomb,55
2025,first_round,12,Colorado State,78,5,Memphis,70
2025,first_round,1,Duke,93,16,Mount St. Mary's,49
2025,first_round,7,Saint Mary's,59,10,Vanderbilt,56
2025,first_round,6,Ole Miss,71,11,North Carolina,64
2025,first_round,4,Maryland,81,13,Grand Canyon,49
2025,first_round,1,Florida,95,16,Norfolk State,69
2025,first_round,3,Kentucky,76,14,Troy,57
2025,first_round,10,New Mexico,75,7,Marquette,66
2025,first_round,4,Arizona,93,13,Akron,65
2025,first_round,8,UConn,67,9,Oklahoma,59
2025,first_round,6,Illinois,86,11,Xavier,73
2025,first_round,2,Michigan State,87,15,Bryant,62
2025,first_round,5,Oregon,81,12,Liberty,52
2025,second_round,4,Purdue,76,12,McNeese,62
2025,second_round,10,Arkansas,75,2,St. John's,66
2025,second_round,5,Michigan,91,4,Texas A&M,79
2025,second_round,3,Texas Tech,77,11,Drake,64
2025,second_round,1,Auburn,82,9,Creighton,70
2025,second_round,6,BYU,91,3,Wisconsin,89
2025,second_round,1,Houston,81,8,Gonzaga,76
2025,second_round,2,Tennessee,67,7,UCLA,58
2025,second_round,1,Florida,77,8,UConn,75
2025,second_round,1,Duke,89,9,Baylor,66
2025,second_round,3,Kentucky,84,6,Illinois,75
2025,second_round,2,Alabama,80,7,Saint Mary's,66
2025,second_round,4,Maryland,72,12,Colorado State,71
2025,second_round,6,Ole Miss,91,3,Iowa State,78
2025,second_round,2,Michigan State,71,10,New Mexico,63
2025,second_round,4,Arizona,87,5,Oregon,83
2025,sweet_16,2,Alabama,113,6,BYU,88
2025,sweet_16,1,Florida,87,4,Maryland,71
2025,sweet_16,1,Duke,100,4,Arizona,93
2025,sweet_16,3,Texas Tech,85,10,Arkansas,83
2025,sweet_16,2,Michigan State,73,6,Ole Miss,70
2025,sweet_16,2,Tennessee,78,3,Kentucky,65
2025,sweet_16,1,Auburn,78,5,Michigan,65
2025,sweet_16,1,Houston,62,4,Purdue,60
2025,elite_eight,1,Florida,84,3,Texas Tech,79
2025,elite_eight,1,Duke,85,2,Alabama,65
2025,elite_eight,1,Houston,69,2,Tennessee,50
2025,elite_eight,1,Auburn,70,2,Michigan State,64
2025,final_four,1,Florida,79,1,Auburn,73
2025,final_four,1,Houston,70,1,Duke,67
2025,championship,1,Florida,65,1,Houston,63
