Year,Round,Winner Seed,Winner Name,Winner Score,Loser Seed,Loser Name,Loser Score
2023,first_round,1,Houston,63,16,North Kentucky,52
2023,first_round,9,Auburn,83,8,Iowa,75
2023,first_round,5,Miami (FL),63,12,Drake,56
2023,first_round,4,Indiana,71,13,Kent St.,60
2023,first_round,11,Pitt,59,6,Iowa St.,41
2023,first_round,3,Xavier,72,14,Kennesaw St.,67
2023,first_round,10,Penn St.,76,7,Texas A&M,59
2023,first_round,2,Texas,81,15,Colgate,61
2023,first_round,1,Kansas,96,16,Howard,68
2023,first_round,8,Arkansas,73,9,Illinois,63
2023,first_round,5,St. Mary’s,63,12,VCU,51
2023,first_round,4,UConn,87,13,Iona,63
2023,first_round,6,TCU,72,11,Arizona St.,70
2023,first_round,3,Gonzaga,82,14,Grand Canyon,70
2023,first_round,7,Northwestern,75,10,Boise St.,67
2023,first_round,2,UCLA,86,15,UNC Asheville,53
2023,first_round,16,FDU,63,1,Purdue,58
2023,first_round,9,FAU,66,8,Memphis,65
2023,first_round,5,Duke,74,12,Oral Roberts,51
2023,first_round,4,Tennessee,58,13,Louisiana,55
2023,first_round,6,Kentucky,61,11,Providence,53
2023,first_round,3,Kansas St.,77,14,Montana St.,65
2023,first_round,7,Michigan St.,72,10,USC,62
2023,first_round,2,Marquette,78,15,Vermont,61
2023,first_round,1,Alabama,96,16,Texas A&M-CC,75
2023,first_round,8,Maryland,67,9,West Virginia,65
2023,first_round,5,San Diego St.,63,12,Col of Charleston,57
2023,first_round,13,Furman,68,4,Virginia,67
2023,first_round,6,Creighton,72,11,NC State,63
2023,first_round,3,Baylor,74,14,UCSB,56
2023,first_round,7,Missouri,76,10,Utah St.,65
2023,first_round,15,Princeton,59,2,Arizona,55
2023,second_round,1,Houston,81,9,Auburn,64
2023,second_round,5,Miami (FL),85,4,Indiana,69
2023,second_round,3,Xavier,84,11,Pittsburgh,73
2023,second_round,2,Texas,71,10,Penn St.,66
2023,second_round,8,Arkansas,72,1,Kansas,71
2023,second_round,4,UConn,70,5,Saint Mary’s,55
2023,second_round,3,Gonzaga,84,6,TCU,81
2023,second_round,2,UCLA,68,7,Northwestern,63
2023,second_round,9,FAU,78,16,FDU,70
2023,second_round,4,Tennessee,65,5,Duke,52
2023,second_round,3,Kansas St.,75,6,Kentucky,69
2023,second_round,7,Michigan St.,69,2,Marquette,60
2023,second_round,1,Alabama,73,8,Maryland,51
2023,second_round,5,San Diego St.,75,13,Furman,52
2023,second_round,6,Creighton,85,3,Baylor,76
2023,second_round,15,Princeton,78,7,Missouri,63
2023,sweet_16,5,Miami (FL),89,1,Houston,75
2023,sweet_16,2,Texas,83,3,Xavier,71
2023,sweet_16,4,UConn,88,6,Arkansas,65
2023,sweet_16,3,Gonzaga,79,2,UCLA,76
2023,sweet_16,9,FAU,62,4,Tennessee,55
2023,sweet_16,3,Kansas St.,98,7,Michigan St.,93
2023,sweet_16,5,San Diego St.,71,1,Alabama,64
2023,sweet_16,6,Creighton,86,15,Princeton,75
2023,elite_eight,5,Miami (FL),88,2,Texas,81
2023,elite_eight,4,UConn,82,3,Gonzaga,54
2023,elite_eight,9,FAU,79,3,Kansas St.,76
2023,elite_eight,5,San Diego St.,57,6,Creighton,56
2023,final_four,5,San Diego St.,72,9,FAU,71
2023,final_four,4,UConn,72,5,Miami (FL),59
2023,championship,4,UConn,76,5,San Diego St.,59
