Year,Round,Winner Seed,Winner Name,Winner Score,Loser Seed,Loser Name,Loser Score
2018,first_round,1,Villanova,87,16,Radford,61
2018,first_round,2,Purdue,74,15,Cal State Fullerton,48
2018,first_round,3,Texas Tech,70,14,Stephen F. Austin,60
2018,first_round,13,Marshall,81,14,Wichita State,75
2018,first_round,5,West Virginia,85,12,Murray State,68
2018,first_round,6,Florida,77,11,St. Bonaventure,62
2018,first_round,10,Butler,79,7,Arkansas,62
2018,first_round,9,Alabama,86,8,Virginia Tech,83
2018,first_round,1,Xavier,102,16,Texas Southern,82
2018,first_round,2,North Carolina,84,15,Lipscomb,66
2018,first_round,3,Michigan,61,14,Montana,47
2018,first_round,4,Gonzaga,68,13,UNC Greensboro,64
2018,first_round,5,Ohio State,81,12,South Dakota State,73
2018,first_round,6,Houston,67,11,San Diego State,65
2018,first_round,7,Texas A&M,73,10,Providence,69
2018,first_round,9,Florida State,67,8,Missouri,54
2018,first_round,16,UMBC,74,1,Virginia,54
2018,first_round,2,Cincinnati,68,15,Georgia State,53
2018,first_round,3,Tennessee,73,14,Wright State,47
2018,first_round,13,Buffalo,89,4,Arizona,68
2018,first_round,5,Kentucky,78,12,Davidson,73
2018,first_round,11,Loyola Chicago,64,6,Miami (Fla.),62
2018,first_round,7,Nevada,87,10,Texas,83
2018,first_round,9,Kansas State,69,8,Creighton,59
2018,first_round,1,Kansas,76,16,Pennsylvania,60
2018,first_round,2,Duke,89,15,Iona,67
2018,first_round,3,Michigan State,82,14,Bucknell,78
2018,first_round,4,Auburn,62,13,College of Charleston,58
2018,first_round,5,Clemson,79,12,New Mexico State,68
2018,first_round,11,Syracuse,57,6,TCU,52
2018,first_round,7,Rhode Island,83,10,Oklahoma,78
2018,first_round,8,Seton Hall,94,9,NC State,83
2018,second_round,1,Villanova,81,9,Alabama,58
2018,second_round,2,Purdue,76,10,Butler,73
2018,second_round,3,Texas Tech,69,6,Florida,66
2018,second_round,5,West Virginia,94,13,Marshall,71
2018,second_round,9,Florida State,75,1,Xavier,70
2018,second_round,7,Texas A&M,86,2,North Carolina,65
2018,second_round,3,Michigan,64,6,Houston,63
2018,second_round,4,Gonzaga,90,5,Ohio,State
2018,second_round,9,Kansas State,50,16,UMBC,43
2018,second_round,7,Nevada,75,2,Cincinnati,73
2018,second_round,11,Loyola Chicago,63,3,Tennessee,62
2018,second_round,5,Kentucky,95,13,Buffalo,75
2018,second_round,1,Kansas,83,8,Seton Hall,79
2018,second_round,2,Duke,87,7,Rhode Island,62
2018,second_round,11,Syracuse,55,3,Michigan State,53
2018,second_round,5,Clemson,84,4,Auburn,53
2018,sweet_16,1,Villanova,90,5,West Virginia,78
2018,sweet_16,3,Texas Tech,78,2,Purdue,65
2018,sweet_16,9,Florida State,75,4,Gonzaga,60
2018,sweet_16,3,Michigan,99,7,Texas A&M,72
2018,sweet_16,9,Kansas State,61,5,Kentucky,58
2018,sweet_16,11,Loyola Chicago,69,7,Nevada,68
2018,sweet_16,1,Kansas,80,5,Clemson,76
2018,sweet_16,2,Duke,69,11,Syracuse,65
2018,elite_eight,1,Villanova,71,3,Texas Tech,59
2018,elite_eight,3,Michigan,58,9,Florida State,54
2018,elite_eight,11,Loyola Chicago,78,9,Kansas State,62
2018,elite_eight,1,Kansas,85,2,Duke,81
2018,final_four,1,Villanova,95,1,Kansas,79
2018,final_four,3,Michigan,69,11,Loyola Chicago,57
2018,championship,1,Villanova,79,3,Michigan,62
