Year,Round,Winner Seed,Winner Name,Winner Score,Loser Seed,Loser Name,Loser Score
2006,first_round,1,UConn,72,16,Albany,59
2006,first_round,8,Kentucky,69,9,UAB,64
2006,first_round,5,Washington,75,12,Utah State,61
2006,first_round,4,Illinois,78,13,Air Force,69
2006,first_round,11,George Mason,75,6,Michigan State,65
2006,first_round,3,North Carolina,69,14,Murray State,65
2006,first_round,7,Wichita State,86,10,Seton Hall,66
2006,first_round,2,Tennessee,63,15,Winthrop,61
2006,first_round,1,Villanova,58,16,Monmouth,45
2006,first_round,8,Arizona,94,9,Wisconsin,75
2006,first_round,12,Montana,87,5,Nevada,79
2006,first_round,4,Boston College,88,13,Pacific 76,(2OT)
2006,first_round,11,Wisconsin-Milwaukee,82,6,Oklahoma,74
2006,first_round,3,Florida,76,14,South Alabama,50
2006,first_round,7,Georgetown,54,10,Northern Iowa,49
2006,first_round,2,Ohio State,70,15,Davidson,62
2006,first_round,1,Duke,70,16,Southern,54
2006,first_round,8,George Washington,88,9,UNC-Wilmington,85
2006,first_round,12,Texas A&M,66,5,Syracuse,58
2006,first_round,4,LSU,80,13,Iona,64
2006,first_round,6,West Virginia,64,11,Southern Illinois,46
2006,first_round,14,Northwestern State,64,3,Iowa,63
2006,first_round,10,NC State,58,7,California,52
2006,first_round,2,Texas,60,15,Penn,52
2006,first_round,1,Memphis,94,16,Oral Roberts,78
2006,first_round,9,Bucknell,59,8,Arkansas,55
2006,first_round,5,Pittsburgh,79,12,Kent State,64
2006,first_round,13,Bradley,77,4,Kansas,73
2006,first_round,6,Indiana,87,11,San Diego State,83
2006,first_round,3,Gonzaga,79,14,Xavier,75
2006,first_round,10,Alabama,90,7,Marquette,85
2006,first_round,2,UCLA,78,15,Belmont,44
2006,second_round,1,UConn,87,8,Kentucky,83
2006,second_round,5,Washington,67,4,Illinois,64
2006,second_round,11,George Mason,65,3,North Carolina,60
2006,second_round,7,Wichita State,80,2,Tennessee,73
2006,second_round,1,Villanova,82,8,Arizona,78
2006,second_round,4,Boston College,69,12,Montana,56
2006,second_round,3,Florida,82,11,Wisconsin-Milwaukee,60
2006,second_round,7,Georgetown,70,2,Ohio State,52
2006,second_round,1,Duke,74,8,George Washington,61
2006,second_round,4,LSU,58,12,Texas A&M,57
2006,second_round,6,West Virginia,67,14,Northwestern State,54
2006,second_round,2,Texas,75,10,NC State,54
2006,second_round,1,Memphis,72,9,Bucknell,56
2006,second_round,13,Bradley,72,5,Pittsburgh,66
2006,second_round,3,Gonzaga,90,6,Indiana,80
2006,second_round,2,UCLA,62,10,Alabama,59
2006,sweet_16,1,UConn,98,5,Washington,92
2006,sweet_16,11,George Mason,63,7,Wichita State,55
2006,sweet_16,1,Villanova,60,4,Boston College,59
2006,sweet_16,3,Florida,57,7,Georgetown,53
2006,sweet_16,4,LSU,62,1,Duke,54
2006,sweet_16,2,Texas,74,6,West Virginia,71
2006,sweet_16,1,Memphis,80,13,Bradley,64
2006,sweet_16,2,UCLA,73,3,Gonzaga,71
2006,elite_eight,11,George Mason,86,1,UConn,84
2006,elite_eight,3,Florida,75,1,Villanova,62
2006,elite_eight,4,LSU,70,2,Texas,60
2006,elite_eight,2,UCLA,50,1,Memphis,45
2006,final_four,2,UCLA,59,4,LSU,45
2006,final_four,3,Florida,73,11,George Mason,58
2006,championship,3,Florida,73,2,UCLA,57
