Year,Round,Winner Seed,Winner Name,Winner Score,Loser Seed,Loser Name,Loser Score
2007,first_round,1,North Carolina,86,16,Eastern Kentucky,65
2007,first_round,9,Michigan State,61,8,Marquette,49
2007,first_round,5,USC,77,12,Arkansas,60
2007,first_round,4,Texas,79,13,New Mexico State,67
2007,first_round,6,Vanderbilt,77,11,George Washington,44
2007,first_round,3,Washington State,70,14,Oral Roberts,54
2007,first_round,7,Boston College,84,10,Texas Tech,75
2007,first_round,2,Georgetown,80,15,Belmont,55
2007,first_round,1,Florida,112,16,Jackson State,69
2007,first_round,9,Purdue,72,8,Arizona,63
2007,first_round,5,Butler,57,12,Old Dominion,46
2007,first_round,4,Maryland,82,13,Davidson,70
2007,first_round,11,Winthrop,74,6,Notre Dame,64
2007,first_round,3,Oregon,58,14,Miami (Ohio),56
2007,first_round,7,UNLV,67,10,Georgia Tech,63
2007,first_round,2,Wisconsin,76,15,Texas A&M-Corpus Christi,63
2007,first_round,1,Ohio State,78,16,Central Connecticut State,57
2007,first_round,9,Xavier,79,8,BYU,77
2007,first_round,5,Tennessee,121,12,Long Beach State,86
2007,first_round,4,Virginia,84,13,Albany,57
2007,first_round,6,Louisville,78,11,Stanford,58
2007,first_round,3,Texas A&M,68,14,Penn,52
2007,first_round,7,Nevada,77,10,Creighton,71
2007,first_round,2,Memphis,73,15,North Texas,58
2007,first_round,1,Kansas,107,16,Niagara,67
2007,first_round,8,Kentucky,67,9,Villanova,58
2007,first_round,5,Virginia Tech,54,12,Illinois,52
2007,first_round,4,Southern Illinois,61,13,Holy Cross,51
2007,first_round,11,VCU,79,6,Duke,77
2007,first_round,3,Pittsburgh,79,14,Wright State,58
2007,first_round,7,Indiana,70,10,Gonzaga,57
2007,first_round,2,UCLA,70,15,Weber State,42
2007,second_round,1,North Carolina,81,9,Michigan State,67
2007,second_round,5,USC,87,4,Texas,68
2007,second_round,6,Vanderbilt,78,3,Washington State,74
2007,second_round,2,Georgetown,62,7,Boston College,55
2007,second_round,1,Florida,74,9,Purdue,67
2007,second_round,5,Butler,62,4,Maryland,59
2007,second_round,3,Oregon,75,11,Winthrop,61
2007,second_round,7,UNLV,74,2,Wisconsin,68
2007,second_round,1,Ohio State,78,9,Xavier,71
2007,second_round,5,Tennessee,77,4,Virginia,74
2007,second_round,3,Texas A&M,72,6,Louisville,69
2007,second_round,2,Memphis,78,7,Nevada,62
2007,second_round,1,Kansas,88,8,Kentucky,76
2007,second_round,4,Southern Illinois,63,5,Virginia Tech,48
2007,second_round,3,Pittsburgh,84,11,VCU,79
2007,second_round,2,UCLA,54,7,Indiana,49
2007,sweet_16,1,North Carolina,74,5,USC,64
2007,sweet_16,2,Georgetown,66,6,Vanderbilt,65
2007,sweet_16,1,Florida,65,5,Butler,57
2007,sweet_16,3,Oregon,76,7,UNLV,72
2007,sweet_16,1,Ohio State,85,5,Tennessee,84
2007,sweet_16,2,Memphis,65,3,Texas A&M,64
2007,sweet_16,1,Kansas,61,4,Southern Illinois,58
2007,sweet_16,2,UCLA,64,3,Pittsburgh,55
2007,elite_eight,2,Georgetown,96,1,North Carolina,84
2007,elite_eight,1,Florida,85,3,Oregon,77
2007,elite_eight,1,Ohio State,92,2,Memphis,76
2007,elite_eight,2,UCLA,68,1,Kansas,55
2007,final_four,1,Florida,76,2,UCLA,66
2007,final_four,1,Ohio State,67,2,Georgetown,60
2007,championship,1,Florida,84,1,Ohio State,75
