Year,Round,Winner Seed,Winner Name,Winner Score,Loser Seed,Loser Name,Loser Score
2014,first_round,1,Wichita State,64,16,Cal Poly,37
2014,first_round,2,Michigan,57,15,Wofford,40
2014,first_round,14,Mercer,78,3,Duke,71
2014,first_round,4,Louisville,71,13,Manhattan,64
2014,first_round,5,Saint Louis,83,12,NC State,80
2014,first_round,11,Tennessee,86,6,UMass,67
2014,first_round,7,Texas,87,10,Arizona State,85
2014,first_round,8,Kentucky,56,9,Kansas State,49
2014,first_round,1,Arizona,68,16,Weber State,59
2014,first_round,2,Wisconsin,75,15,American,35
2014,first_round,3,Creighton,76,14,Louisiana,66
2014,first_round,4,San Diego State,73,13,New Mexico State,69
2014,first_round,12,North Dakota State,80,5,Oklahoma,75
2014,first_round,6,Baylor,74,11,Nebraska,60
2014,first_round,7,Oregon,87,10,BYU,68
2014,first_round,8,Gonzaga,85,9,Oklahoma State,77
2014,first_round,1,Virginia,70,16,Coastal Carolina,59
2014,first_round,2,Villanova,73,15,Milwaukee,53
2014,first_round,3,Iowa State,93,14,North Carolina Central,75
2014,first_round,4,Michigan State,93,13,Delaware,78
2014,first_round,12,Harvard,61,5,Cincinnati,57
2014,first_round,6,North Carolina,79,11,Providence,77
2014,first_round,7,UConn,89,10,Saint Joseph's,81
2014,first_round,8,Memphis,71,9,George Washington,66
2014,first_round,1,Florida,67,16,Albany,55
2014,first_round,2,Kansas,80,15,Eastern Kentucky,69
2014,first_round,3,Syracuse,77,14,Western Michigan,53
2014,first_round,4,UCLA,76,13,Tulsa,59
2014,first_round,12,Stephen F. Austin,77,5,VCU,75
2014,first_round,11,Dayton,60,6,Ohio State,59
2014,first_round,10,Stanford,58,7,New Mexico,53
2014,first_round,9,Pittsburgh,77,8,Colorado,48
2014,second_round,8,Kentucky,78,1,Wichita State,76
2014,second_round,2,Michigan,79,7,Texas,65
2014,second_round,11,Tennessee,83,14,Mercer,63
2014,second_round,4,Louisville,66,5,Saint Louis,51
2014,second_round,1,Arizona,84,8,Gonzaga,61
2014,second_round,2,Wisconsin,85,7,Oregon,77
2014,second_round,6,Baylor,85,3,Creighton,55
2014,second_round,4,San Diego State,63,12,North Dakota State,44
2014,second_round,1,Virginia,78,8,Memphis,60
2014,second_round,7,UConn,77,7,Villanova,65
2014,second_round,6,Iowa State,85,6,North Carolina,83
2014,second_round,4,Michigan State,80,12,Harvard,73
2014,second_round,1,Florida,61,9,Pittsburgh,45
2014,second_round,10,Stanford,60,2,Kansas,57
2014,second_round,11,Dayton,55,3,Syracuse,53
2014,second_round,4,UCLA,77,12,Stephen F. Austin,65
2014,sweet_16,8,Kentucky,74,4,Louisville,69
2014,sweet_16,2,Michigan,73,11,Tennessee,71
2014,sweet_16,1,Arizona,70,4,San Diego State,64
2014,sweet_16,2,Wisconsin,69,6,Baylor,52
2014,sweet_16,4,Michigan State,61,1,Virginia,59
2014,sweet_16,7,UConn,81,3,Iowa State,76
2014,sweet_16,1,Florida,79,4,UCLA,68
2014,sweet_16,11,Dayton,82,10,Stanford,72
2014,elite_eight,8,Kentucky,75,2,Michigan,72
2014,elite_eight,2,Wisconsin,64,1,Arizona,63
2014,elite_eight,7,UConn,60,4,Michigan State,54
2014,elite_eight,1,Florida,62,11,Dayton,52
2014,final_four,7,UConn,63,1,Florida,53
2014,final_four,8,Kentucky,74,2,Wisconsin,73
2014,championship,7,UConn,60,8,Kentucky,54
