Year,Round,Winner Seed,Winner Name,Winner Score,Loser Seed,Loser Name,Loser Score
2017,first_round,1,Villanova,76,16,Mount St. Mary's,56
2017,first_round,2,Duke,87,15,Troy,65
2017,first_round,3,Baylor,91,14,New Mexico State,73
2017,first_round,4,Florida,80,13,East Tennessee State,65
2017,first_round,5,Virginia,76,12,UNC Wilmington,71
2017,first_round,11,Southern California,66,6,SMU,65
2017,first_round,7,South Carolina,93,10,Marquette,73
2017,first_round,8,Wisconsin,84,9,Virginia Tech,74
2017,first_round,1,Gonzaga,66,16,South Dakota State,46
2017,first_round,2,Arizona,100,15,North Dakota,82
2017,first_round,3,Florida State,86,14,Florida Gulf Coast,80
2017,first_round,4,West Virginia,86,13,Bucknell,80
2017,first_round,5,Notre Dame,60,12,Princeton,58
2017,first_round,11,Xavier,76,6,Maryland,65
2017,first_round,7,Saint Mary's,85,10,VCU,77
2017,first_round,8,Northwestern,68,9,Vanderbilt,66
2017,first_round,1,North Carolina,103,Texas,Southern,64
2017,first_round,2,Kentucky,79,15,Northern Kentucky,70
2017,first_round,3,UCLA,97,14,Kent State,80
2017,first_round,4,Butler,76,4,Winthrop,64
2017,first_round,12,Middle Tennessee,81,5,Minnesota,72
2017,first_round,6,Cincinnati,75,11,Kansas State,61
2017,first_round,10,Wichita State,64,7,Dayton,58
2017,first_round,8,Arkansas,77,9,Seton Hall,71
2017,first_round,1,Kansas,100,16,UC Davis,62
2017,first_round,2,Louisville,78,15,Jacksonville State,63
2017,first_round,3,Oregon,93,14,Iona,77
2017,first_round,4,Purdue,80,13,Vermont,70
2017,first_round,5,Iowa State,84,12,Nevada,73
2017,first_round,11,Rhode Island,84,6,Creighton,72
2017,first_round,7,Michigan,92,10,Oklahoma State,91
2017,first_round,9,Michigan State,78,8,Miami (Fla.),58
2017,second_round,8,Wisconsin,65,1,Villanova,62
2017,second_round,7,South Carolina,88,2,Duke,81
2017,second_round,3,Baylor,82,11,Southern California,78
2017,second_round,4,Florida,65,5,Virginia,39
2017,second_round,1,Gonzaga,79,8,Northwestern,73
2017,second_round,2,Arizona,69,7,Saint Mary's,60
2017,second_round,11,Xavier,91,3,Florida State,66
2017,second_round,4,West Virginia,83,5,Notre Dame,71
2017,second_round,1,North Carolina,72,8,Arkansas,65
2017,second_round,2,Kentucky,65,10,Wichita State,62
2017,second_round,3,UCLA,79,6,Cincinnati,67
2017,second_round,4,Butler,74,12,Middle Tennessee,65
2017,second_round,1,Kansas,90,9,Michigan State,70
2017,second_round,7,Michigan,73,2,Louisville,69
2017,second_round,3,Oregon,75,11,Rhode Island,72
2017,second_round,4,Purdue,80,5,Iowa State,76
2017,sweet_16,4,Florida,84,8,Wisconsin,83
2017,sweet_16,7,South Carolina,70,3,Baylor,50
2017,sweet_16,1,Gonzaga,61,4,West Virginia,58
2017,sweet_16,11,Xavier,73,2,Arizona,71
2017,sweet_16,1,North Carolina,92,4,Butler,80
2017,sweet_16,2,Kentucky,86,3,UCLA,75
2017,sweet_16,1,Kansas,98,4,Purdue,66
2017,sweet_16,3,Oregon,69,7,Michigan,68
2017,elite_eight,7,South Carolina,77,4,Florida,70
2017,elite_eight,1,Gonzaga,83,11,Xavier,59
2017,elite_eight,1,North Carolina,75,2,Kentucky,73
2017,elite_eight,3,Oregon,74,1,Kansas,60
2017,final_four,1,Gonzaga,77,7,South Carolina,73
2017,final_four,1,North Carolina,77,3,Oregon,76
2017,championship,1,North Carolina,71,1,Gonzaga,65
