Year,Round,Winner Seed,Winner Name,Winner Score,Loser Seed,Loser Name,Loser Score
2013,first_round,1,Louisville,79,16,North Carolina A&T,48
2013,first_round,2,Duke,73,15,Albany,61
2013,first_round,3,Michigan State,65,14,Valparaiso,54
2013,first_round,4,Saint Louis,64,13,New Mexico State,44
2013,first_round,12,Oregon,68,5,Oklahoma State,55
2013,first_round,6,Memphis,54,11,Saint Mary's,52
2013,first_round,7,Creighton,67,10,Cincinnati,63
2013,first_round,8,Colorado State,84,9,Missouri,72
2013,first_round,1,Gonzaga,64,16,Southern,58
2013,first_round,2,Ohio State,95,15,Iona,70
2013,first_round,14,Harvard,68,3,New Mexico,62
2013,first_round,13,La Salle,63,4,Kansas State,61
2013,first_round,12,Ole Miss,57,5,Wisconsin,46
2013,first_round,6,Arizona,81,11,Belmont,64
2013,first_round,10,Iowa State,76,7,Notre Dame,58
2013,first_round,9,Wichita State,73,8,Pittsburgh,55
2013,first_round,1,Indiana,83,16,James Madison,62
2013,first_round,2,Miami (Fla.),78,15,Pacific,49
2013,first_round,3,Marquette,59,14,Davidson,58
2013,first_round,4,Syracuse,81,13,Montana,34
2013,first_round,12,California,64,5,UNLV,61
2013,first_round,6,Butler,68,11,Bucknell,56
2013,first_round,7,Illinois,57,10,Colorado,49
2013,first_round,9,Temple,76,8,NC State,72
2013,first_round,1,Kansas,64,16,Western Kentucky,57
2013,first_round,15,Florida Gulf Coast,78,2,Georgetown,68
2013,first_round,3,Florida,79,14,Northwestern State,47
2013,first_round,4,Michigan,71,13,South Dakota State,56
2013,first_round,5,VCU,88,4,Akron,42
2013,first_round,11,Minnesota,83,6,UCLA,63
2013,first_round,7,San Diego State,70,10,Oklahoma,55
2013,first_round,8,North Carolina,78,9,Villanova,71
2013,second_round,1,Louisville,82,8,Colorado State,56
2013,second_round,2,Duke,66,7,Creighton,50
2013,second_round,3,Michigan State,70,6,Memphis,48
2013,second_round,12,Oregon,74,4,Saint Louis,57
2013,second_round,9,Wichita State,76,1,Gonzaga,70
2013,second_round,2,Ohio State,78,10,Iowa State,75
2013,second_round,6,Arizona,74,14,Harvard,51
2013,second_round,13,La Salle,76,12,Ole Miss,74
2013,second_round,1,Indiana,58,9,Temple,52
2013,second_round,2,Miami (Fla.),63,7,Illinois,59
2013,second_round,3,Marquette,74,6,Butler,72
2013,second_round,4,Syracuse,66,12,California,60
2013,second_round,1,Kansas,70,8,North Carolina,58
2013,second_round,15,Florida Gulf Coast,81,7,San Diego State,71
2013,second_round,3,Florida,78,11,Minnesota,64
2013,second_round,4,Michigan,78,5,VCU,53
2013,sweet_16,1,Louisville,77,12,Oregon,69
2013,sweet_16,2,Duke,71,3,Michigan State,61
2013,sweet_16,9,Wichita State,72,13,La Salle,58
2013,sweet_16,2,Ohio State,73,6,Arizona,70
2013,sweet_16,4,Syracuse,61,1,Indiana,50
2013,sweet_16,3,Marquette,71,2,Miami (Fla.),61
2013,sweet_16,4,Michigan,87,1,Kansas,85
2013,sweet_16,3,Florida,62,15,Florida Gulf Coast,50
2013,elite_eight,1,Louisville,85,2,Duke,63
2013,elite_eight,9,Wichita State,70,2,Ohio State,66
2013,elite_eight,4,Syracuse,55,3,Marquette,39
2013,elite_eight,4,Michigan,79,3,Florida,59
2013,final_four,1,Louisville,72,9,Wichita State,68
2013,final_four,4,Michigan,61,4,Syracuse,56
2013,championship,1,Louisville,82,4,Michigan,76
